"curso","n","zeros","prop_zero","AIC_ZIUBXII","AIC_BETA","AIC_KUMA","BIC_ZIUBXII","BIC_BETA","BIC_KUMA","conv_ZIUBXII","conv_BETA","conv_KUMA","vencedor_AIC","vencedor_BIC"
"RELAÇÕES INTERNACIONAIS",114,22,0.193,NA,-65.322,-67.075,NA,-57.114,-58.866,FALSE,TRUE,TRUE,"KUMA","KUMA"
"TURISMO",75,16,0.213,1055073.109,12.008,-24.248,1055080.061,18.961,-17.295,FALSE,TRUE,TRUE,"KUMA","KUMA"
"DESIGN DE MODA",102,14,0.137,29291.525,-1.644,-29.74,29299.4,6.231,-21.865,FALSE,TRUE,TRUE,"KUMA","KUMA"
"TEOLOGIA",93,42,0.452,6706280750.236,15.689,16.075,6706280757.834,23.287,23.672,FALSE,TRUE,TRUE,"BETA","BETA"
"PUBLICIDADE E PROPAGANDA",92,15,0.163,18758.053,0.616,-24.528,18765.619,8.182,-16.963,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ZOOTECNIA",108,17,0.157,366503328.847,-111.255,-110.091,366503336.893,-103.209,-102.045,FALSE,TRUE,TRUE,"BETA","BETA"
"GESTÃO AMBIENTAL",83,17,0.205,12.526,-13.697,-12.382,19.782,-6.441,-5.126,TRUE,TRUE,TRUE,"BETA","BETA"
"ARTES VISUAIS",87,26,0.299,79620244.039,-5.934,-6.111,79620251.437,1.464,1.287,FALSE,TRUE,TRUE,"KUMA","KUMA"
"COMÉRCIO EXTERIOR",66,5,0.076,-25.502,-32.342,-53.485,-18.933,-25.773,-46.916,TRUE,TRUE,TRUE,"KUMA","KUMA"
"SISTEMA DE INFORMAÇÃO",79,16,0.203,6617.737,22.347,4.259,6624.845,29.455,11.368,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA DE ALIMENTOS",72,9,0.125,-28.943,-22.076,-49.149,-22.113,-15.246,-42.319,TRUE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA AGRONÔMICA",77,21,0.273,1470107499.16,-37.771,-37.085,1470107506.191,-30.74,-30.053,FALSE,TRUE,TRUE,"BETA","BETA"
"SISTEMAS PARA INTERNET",67,13,0.194,8.823,-0.716,-0.89,15.437,5.898,5.724,TRUE,TRUE,TRUE,"KUMA","KUMA"
"FONOAUDIOLOGIA",74,20,0.27,NA,-44.086,-42.021,NA,-37.174,-35.109,FALSE,TRUE,TRUE,"BETA","BETA"
"JOGOS DIGITAIS",76,18,0.237,16.169,0.037,-0.021,23.161,7.029,6.971,TRUE,TRUE,TRUE,"KUMA","KUMA"
"GESTÃO DA QUALIDADE",59,11,0.186,24.31,17.724,5.49,30.543,23.957,11.722,TRUE,TRUE,TRUE,"KUMA","KUMA"
"AUTOMAÇÃO INDUSTRIAL",55,4,0.073,15.918,4.228,4.3,21.94,10.25,10.322,TRUE,TRUE,TRUE,"BETA","BETA"
"LETRAS",52,18,0.346,131168.195,49.181,38.073,131174.048,55.035,43.927,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA FLORESTAL",61,8,0.131,408641.086,-51.294,-50.576,408647.419,-44.961,-44.244,FALSE,TRUE,TRUE,"BETA","BETA"
"GESTÃO PÚBLICA",53,12,0.226,163076.725,15.854,-0.652,163082.636,21.765,5.259,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ALIMENTOS",56,11,0.196,19.846,14.076,14.071,25.922,20.152,20.147,TRUE,TRUE,TRUE,"KUMA","KUMA"
"FOTOGRAFIA",47,6,0.128,-10.266,-24.961,-24.479,-4.716,-19.41,-18.928,TRUE,TRUE,TRUE,"BETA","BETA"
"GESTÃO HOSPITALAR",29,6,0.207,15.081,8.931,9.464,19.183,13.032,13.566,TRUE,TRUE,TRUE,"BETA","BETA"
"AGRONEGÓCIO",42,11,0.262,10.659,0.285,0.471,15.872,5.498,5.684,TRUE,TRUE,TRUE,"BETA","BETA"
"COMUNICAÇÃO SOCIAL",23,7,0.304,612993.083,8.762,8.685,612996.489,12.169,12.092,FALSE,TRUE,TRUE,"KUMA","KUMA"
"GESTÃO DA PRODUÇÃO INDUSTRIAL",41,8,0.195,25.38,16.621,16.689,30.521,21.762,21.83,TRUE,TRUE,TRUE,"BETA","BETA"
"TEATRO",44,16,0.364,NA,-11.144,-10.726,NA,-5.791,-5.374,FALSE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA DE SOFTWARE",39,7,0.179,-3.276,-30.718,-30.212,1.715,-25.728,-25.221,TRUE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA DE MATERIAIS",37,5,0.135,746691.025,-9.053,-26.729,746695.858,-4.22,-21.896,FALSE,TRUE,TRUE,"KUMA","KUMA"
"PRODUÇÃO AUDIOVISUAL",34,10,0.294,1762.127,21.082,-2.94,1766.706,25.661,1.639,TRUE,TRUE,TRUE,"KUMA","KUMA"
